Well	Name	Type	Assembled By	NEB Sol A	NEB Sol B	NEB Sol B -Ribos	Workshop Protein Mix 1 (BE-Riku)	Workshop Protein Mix 2 (BE-Severine)	Workshop Protein Mix 1 (Riku)	Workshop Protein Mix 2 (Severine)	bnext ribosomes	IF2	T7 RNAP	RNse Inhibitor	pT7-plamGFP plasmid (120 ng/uL)	Ultrapure water	plamGFP Standard	Total
A1	OnePot BE #1	Experiment	Riku	10			3				2.5			1.25	1.25	7		25
A3	OnePot BE #2	Experiment	Riku	10				3			2.5			1.25	1.25	7		25
A5	OnePot BE #1 + IF2	Experiment	Riku	10			3				2.5	1.25		1.25	1.25	5.75		25
A7	OnePot BE #1 + T7 RNAP	Experiment	Riku	10			3				2.5		1.25	1.25	1.25	5.75		25
A9	Poison A	Experiment	Parsa	10	7.5				2.5					1.25	1.25	2.5		25
A11	Poison B	Experiment	Parsa	10	7.5					2.5				1.25	1.25	2.5		25
A13	OnePot #1 +ve	Experiment	Parsa	10					3		2.5			1.25	1.25	7		25
A15	OnePot #2 +ve	Experiment	Parsa	10						3	2.5			1.25	1.25	7		25
A17	OnePot -ve	Experiment	Viktoriia	10						3	2.5			1.25		8.25		25
A19	NEB Protein + (uL)	Experiment	Viktoriia	10		3					2.5			1.25	1.25	7		25
A21	NEB +DNA (uL)	Experiment	Viktoriia	10	7.5									1.25	1.25	5		25
A23	NEB -DNA (uL)	Experiment	Viktoriia	10	7.5									1.25		6.25		25
C1	OnePot BE #1	Experiment	Riku	10			3				2.5			1.25	1.25	7		25
C3	OnePot BE #2	Experiment	Riku	10				3			2.5			1.25	1.25	7		25
C5	OnePot BE #1 + IF2	Experiment	Riku	10			3				2.5	1.25		1.25	1.25	5.75		25
C7	OnePot BE #1 + T7 RNAP	Experiment	Riku	10			3				2.5		1.25	1.25	1.25	5.75		25
C9	Poison A	Experiment	Parsa	10	7.5				2.5					1.25	1.25	2.5		25
C11	Poison B	Experiment	Parsa	10	7.5					2.5				1.25	1.25	2.5		25
C13	OnePot #1 +ve	Experiment	Parsa	10					3		2.5			1.25	1.25	7		25
C15	OnePot #2 +ve	Experiment	Parsa	10						3	2.5			1.25	1.25	7		25
C17	OnePot -ve	Control*	Viktoriia	10						3	2.5			1.25		8.25		25
C19	NEB Protein + (uL)	Control*	Viktoriia	10		3					2.5			1.25	1.25	7		25
C21	NEB +DNA (uL)	Control	Viktoriia	10	7.5									1.25	1.25	5		25
C23	NEB -DNA (uL)	Control	Viktoriia	10	7.5									1.25		6.25		25
I1	plamGFP-0	Standard	Molina														10	
I3	plamGFP-20	Standard	Molina														10	
I5	plamGFP-50	Standard	Molina														10	
I7	plamGFP-75	Standard	Molina														10	
I9	plamGFP-100	Standard	Molina														10	
I11	plamGFP-125	Standard	Molina														10	
I13	plamGFP-150	Standard	Molina														10	
I15	plamGFP-300	Standard	Molina														10	
K1	plamGFP-0	Standard	Molina														10	
K3	plamGFP-20	Standard	Molina														10	
K5	plamGFP-50	Standard	Molina														10	
K7	plamGFP-75	Standard	Molina														10	
K9	plamGFP-100	Standard	Molina														10	
K11	plamGFP-125	Standard	Molina														10	
K13	plamGFP-150	Standard	Molina														10	
K15	plamGFP-300	Standard	Molina														10	
